city_ascii,country,population
San Rafael,United States,59070
White Plains,United States,59047
Goldsboro,United States,58972
Bowie,United States,58859
Huntington Park,United States,58822
Arcadia,United States,58799
Lewiston,United States,58796
Columbus,United States,58771
Orland Park,United States,58765
Casa Grande,United States,58632
Staunton,United States,58470
Margate,United States,58430
Jefferson City,United States,58279
Des Plaines,United States,58193
Santee,United States,58113
Middletown,United States,57973
Hot Springs,United States,57819
Medford,United States,57797
Suileng,China,57789
Walla Walla,United States,57779
Carson City,United States,57525
Hendersonville,United States,57517
Titusville,United States,57497
Greenwood,United States,57375
Midwest City,United States,57308
Manhattan,United States,57284
Saint Peters,United States,57178
Taunton,United States,57139
New Brunswick,United States,57073
East Stroudsburg,United States,56771
Smyrna,United States,56685
Tinley Park,United States,56668
Diamond Bar,United States,56665
Bradenton,United States,56508
Alxa Zuoqi,China,56387
Fountain Valley,United States,56313
Pittsfield,United States,56291
Richland,United States,56243
Huntersville,United States,56212
Shoreline,United States,56189
Oak Lawn,United States,56087
Novato,United States,55980
Commerce City,United States,55923
Changling,China,55841
Hempstead,United States,55806
Cartersville,United States,55794
Dearborn Heights,United States,55758
Kingston,United States,55695
Berwyn,United States,55550
Chicopee,United States,55515
Hazleton,United States,55444
Ithaca,United States,55439
Xinqing,China,55415
Highland,United States,55342
Lake Havasu City,United States,55341
Kettering,United States,55175
Euless,United States,55174
Hoboken,United States,55131
Palm Beach Gardens,United States,55036
Watertown,United States,54980
Grants Pass,United States,54973
Blue Springs,United States,54945
Paramount,United States,54909
West Haven,United States,54843
Colton,United States,54828
Caldwell,United States,54660
Ningan,China,54636
Fond du Lac,United States,54629
Arroyo Grande,United States,54620
Cathedral City,United States,54596
Cape Girardeau,United States,54588
Rosemead,United States,54554
Delano,United States,54471
Stonecrest,United States,54471
Twin Falls,United States,54455
Williamsport,United States,54389
Eagle Pass,United States,54299
Normal,United States,54284
West New York,United States,54227
Leesburg,United States,54215
Beaufort,United States,54207
Parker,United States,54202
Southaven,United States,54031
Brunswick,United States,54017
Revere,United States,53993
Grapevine,United States,53982
Bozeman,United States,53949
Mount Prospect,United States,53930
Elyria,United States,53883
Yucaipa,United States,53683
DeSoto,United States,53568
Lenexa,United States,53553
Brookhaven,United States,53518
West Sacramento,United States,53512
Lewiston,United States,53436
Grand Island,United States,53424
Bellevue,United States,53424
Wheaton,United States,53373
Qingan,China,53206
Tigard,United States,53148
Minnetonka,United States,53085
Peabody,United States,52987
City of Milford (balance),United States,52970
Palm Desert,United States,52932
Lompoc,United States,52856
Pinellas Park,United States,52854
Perth Amboy,United States,52823
Farmington,United States,52555
Glendora,United States,52445
Apple Valley,United States,52435
Chambersburg,United States,52418
Oak Park,United States,52261
Placentia,United States,52157
Edina,United States,51958
Kentwood,United States,51747
Burien,United States,51671
Aliso Viejo,United States,51671
Sierra Vista,United States,51571
Hoffman Estates,United States,51567
Apopka,United States,51564
Florissant,United States,51443
Bloomsburg,United States,51356
Plainfield,United States,51327
Saint Cloud,United States,51282
Coral Gables,United States,51095
Cerritos,United States,51020
Hinesville,United States,51001
New Bern,United States,50617
Apex,United States,50451
Summerville,United States,50388
Collierville,United States,50286
Methuen,United States,50259
Lakewood,United States,50249
Helena,United States,50227
Poway,United States,50041
Bairin Zuoqi,China,50000
Smyrna,United States,49969
Minot,United States,49884
Azusa,United States,49864
Wylie,United States,49826
Traverse City,United States,49806
Tacheng,China,49796
Lacey,United States,49748
Dunwoody,United States,49609
Troy,United States,49565
Downers Grove,United States,49540
Bullhead City,United States,49531
Bedford,United States,49486
Wilson,United States,49372
Bentonville,United States,49298
Murray,United States,49295
Cuyahoga Falls,United States,49247
Leander,United States,49234
Mishawaka,United States,49177
Fengjie,China,49168
Roswell,United States,49119
Monroe,United States,49115
La Mirada,United States,49095
Cypress,United States,49064
Cumberland,United States,49033
Saint Louis Park,United States,49029
Reedley,United States,48970
Pascagoula,United States,48946
Madison,United States,48861
East Lansing,United States,48844
Portage,United States,48816
Kannapolis,United States,48806
Rancho Santa Margarita,United States,48793
Cedar Hill,United States,48710
Lawrence,United States,48704
Ceres,United States,48697
Uniontown,United States,48657
Rio Grande City,United States,48633
Paducah,United States,48629
Cookeville,United States,48587
Findlay,United States,48582
Stillwater,United States,48550
Danville,United States,48518
Covina,United States,48462
Niagara Falls,United States,48460
Enid,United States,48325
Wauwatosa,United States,48277
San Jacinto,United States,48254
Palm Springs,United States,48142
Morehead City,United States,48125
Littleton,United States,47734
Draper,United States,47710
Lincoln,United States,47674
Glenview,United States,47659
Dublin,United States,47619
East Providence,United States,47600
Chesterfield,United States,47588
Newark,United States,47531
Roseville,United States,47501
Jeffersonville,United States,47383
Keller,United States,47266
Sahuarita,United States,47229
Euclid,United States,47201
Sandusky,United States,47188
Carrollton,United States,47140
Danville,United States,47135
Mentor,United States,47121
Yishan,China,47062
Beaumont,United States,46967
Beavercreek,United States,46948
Pine Bluff,United States,46850
Salina,United States,46782
Maricopa,United States,46741
New Philadelphia,United States,46736
Elmhurst,United States,46662
Galveston,United States,46561
Little Elm,United States,46548
Leavenworth,United States,46517
Middletown,United States,46478
Ocoee,United States,46402
Everett,United States,46324
West Lafayette,United States,46269
Hollister,United States,46183
Burleson,United States,46145
Lufkin,United States,45912
Biloxi,United States,45908
Oroville,United States,45655
Shaoyang,China,45617
Fort Pierce,United States,45581
Bothell,United States,45533
Coachella,United States,45443
Sayreville,United States,45325
Marion,United States,45324
Hackensack,United States,45248
Tupelo,United States,45231
Inverness,United Kingdom,45158
Cutler Bay,United States,45101
Morgan Hill,United States,45037
Oakland Park,United States,45035
Eureka,United States,45010
Manitowoc,United States,44932
Quincy,United States,44860
Marana,United States,44792
Danville,United States,44786
Strongsville,United States,44744
Farmington,United States,44664
Selma,United States,44626
Attleboro,United States,44590
Cleveland Heights,United States,44562
Del Rio,United States,44424
Haltom City,United States,44417
Oro Valley,United States,44350
Pinehurst,United States,44299
Altamonte Springs,United States,44277
Kingman,United States,44212
Rockwall,United States,44208
Lancaster,United States,44200
North Lauderdale,United States,44198
North Miami Beach,United States,44124
Bountiful,United States,44107
Roseburg,United States,43948
Plainfield,United States,43926
Adrian,United States,43877
Lombard,United States,43745
Desert Hot Springs,United States,43730
Urbandale,United States,43592
Winder,United States,43583
Winter Garden,United States,43536
Stevens Point,United States,43520
Freeport,United States,43508
Kyle,United States,43480
Salem,United States,43415
Riverton,United States,43344
San Bruno,United States,43299
Peachtree Corners,United States,43268
Moorhead,United States,43122
Linden,United States,43056
Hutchinson,United States,42940
Concord,United States,42935
Clovis,United States,42875
Ergun Zuoqi,China,42849
Rohnert Park,United States,42838
Ormond Beach,United States,42816
Brea,United States,42777
Bell Gardens,United States,42747
Prescott,United States,42731
The Colony,United States,42721
Kearny,United States,42670
Brentwood,United States,42667
Goose Creek,United States,42619
Fairfield,United States,42566
Spring Hill,United States,42563
Hulin,China,42559
Richmond,United States,42508
Klamath Falls,United States,42463
Rancho Palos Verdes,United States,42364
Weatherford,United States,42278
Wake Forest,United States,42269
Moline,United States,42231
Edmonds,United States,42209
Greenwood,United States,42174
Urbana,United States,41989
Zanesville,United States,41969
Coppell,United States,41941
Beverly,United States,41816
Woonsocket,United States,41759
Oakley,United States,41714
Westfield,United States,41700
Bluefield,United States,41653
Belleville,United States,41649
Centralia,United States,41643
McMinnville,United States,41583
Cedar Falls,United States,41570
Campbell,United States,41544
Manassas,United States,41501
Clarksburg,United States,41453
Shelton,United States,41397
La Quinta,United States,41304
Jamestown,United States,41236
Buffalo Grove,United States,41226
Marion,United States,41165
Bartlett,United States,41149
Pottsville,United States,41138
Grove City,United States,41022
Puyallup,United States,41001
Maplewood,United States,40918
Shakopee,United States,40893
Wilkes-Barre,United States,40806
Fitchburg,United States,40793
Oviedo,United States,40785
Hobbs,United States,40614
Muskogee,United States,40588
Torrington,United States,40583
Brighton,United States,40562
Apache Junction,United States,40538
San Gabriel,United States,40514
Covington,United States,40455
Crystal Lake,United States,40421
Weslaco,United States,40358
Calexico,United States,40351
Holyoke,United States,40341
La Puente,United States,40322
Chelsea,United States,40227
Orongen Zizhiqi,China,40128
Richmond,United States,40111
Schertz,United States,40092
Statesboro,United States,40090
Carol Stream,United States,39989
Streamwood,United States,39978
Hanggin Houqi,China,39954
Yian,China,39924
Marlborough,United States,39873
Friendswood,United States,39839
Hallandale Beach,United States,39831
New Castle,United States,39742
New Berlin,United States,39740
Westerville,United States,39737
Woburn,United States,39701
Perth,United Kingdom,39654
Romeoville,United States,39632
Bartlesville,United States,39568
Warren,United States,39562
Huntsville,United States,39542
Westfield,United States,39493
Duncanville,United States,39487
Spanish Fork,United States,39443
Wentzville,United States,39414
Marion,United States,39400
Lancaster,United States,39386
Annapolis,United States,39321
Keizer,United States,39315
Culver City,United States,39283
Montclair,United States,39276
Delaware,United States,39267
Herriman,United States,39224
Lake Oswego,United States,39196
Queen Creek,United States,39184
Germantown,United States,39141
Los Banos,United States,39122
Pacifica,United States,39087
Asheboro,United States,39076
Hurst,United States,39051
Indian Trail,United States,38980
Northglenn,United States,38928
Milton,United States,38924
Newnan,United States,38909
Pleasant Grove,United States,38845
Enterprise,United States,38737
Plant City,United States,38714
Frankfort,United States,38664
Roy,United States,38595
Royal Palm Beach,United States,38592
Columbia,United States,38577
Wheeling,United States,38562
Stanton,United States,38528
Butler,United States,38447
Martinez,United States,38373
Meridian,United States,38294
Lynnwood,United States,38273
Aventura,United States,38202
Junction City,United States,38178
Carpentersville,United States,38162
Rock Island,United States,38110
Lake Worth,United States,38107
Brookfield,United States,38045
Huber Heights,United States,37986
Hanover Park,United States,37982
Valley Stream,United States,37935
Oswego,United States,37917
Fort Lee,United States,37907
Reynoldsburg,United States,37847
Mooresville,United States,37820
Moses Lake,United States,37774
Rosenberg,United States,37661
Forney,United States,37521
Park Ridge,United States,37494
Issaquah,United States,37487
Menomonee Falls,United States,37443
Olive Branch,United States,37435
London,United States,37424
Gallatin,United States,37351
Albertville,United States,37220
Mount Pleasant,United States,37206
Farmers Branch,United States,37088
West Hollywood,United States,37080
Monrovia,United States,37061
Kalispell,United States,37024
San Juan,United States,36981
Wildomar,United States,36932
Crestview,United States,36880
Greenfield,United States,36827
Addison,United States,36820
Moorpark,United States,36802
Cottage Grove,United States,36793
Portage,United States,36672
Lincoln Park,United States,36655
Winter Springs,United States,36635
Calumet City,United States,36633
Portsmouth,United States,36622
Cedar City,United States,36592
Dunedin,United States,36545
New Albany,United States,36461
Saint Marys,United States,36447
Dover,United Kingdom,36384
Temple City,United States,36367
Oregon City,United States,36360
Oak Creek,United States,36354
Roseville,United States,36314
Phenix City,United States,36219
Owasso,United States,36215
Cleburne,United States,36193
Richfield,United States,36151
Franklin,United States,36143
Tucker,United States,36130
Lauderdale Lakes,United States,36069
San Juan Capistrano,United States,36064
Claremont,United States,36015
Hilliard,United States,35939
Manhattan Beach,United States,35924
La Grange,United States,35918
Shawnee,United States,35833
Bettendorf,United States,35813
Bell,United States,35811
Benton,United States,35789
Watertown,United States,35756
Cooper City,United States,35732
La Vergne,United States,35717
West Fargo,United States,35708
Georgetown,United States,35586
Wildwood,United States,35501
Prattville,United States,35498
Inver Grove Heights,United States,35392
La Porte,United States,35371
Waxahachie,United States,35340
Paradise,United States,35337
Upper Arlington,United States,35337
Gahanna,United States,35297
East Point,United States,35282
Woodburn,United States,35267
Peachtree City,United States,35262
Holly Springs,United States,35223
El Mirage,United States,35216
Clermont,United States,35211
Nacogdoches,United States,35192
Granbury,United States,35138
Monroe,United States,35065
Lockport,United States,35011
Pleasant Hill,United States,34987
Merrillville,United States,34871
Brunswick,United States,34867
Oswego,United States,34833
Auburn,United States,34818
Stow,United States,34769
Mount Juliet,United States,34726
Riviera Beach,United States,34674
Oak Harbor,United States,34663
Leawood,United States,34659
Grass Valley,United States,34650
Sanford,United States,34557
University City,United States,34549
Norristown,United States,34510
Beverly Hills,United States,34484
Foster City,United States,34412
Englewood,United States,34407
Galesburg,United States,34406
Kearney,United States,34386
Gillette,United States,34378
Russellville,United States,34373
Menlo Park,United States,34357
Kennesaw,United States,34344
San Dimas,United States,34326
Vestavia Hills,United States,34291
Middletown,United States,34132
Sonoma,United States,34089
Chester,United States,34077
Adelanto,United States,34066
Glendale Heights,United States,34058
Socorro,United States,34048
Tooele,United States,34029
Lebanon,United States,34027
Cottonwood Heights,United States,33996
Dana Point,United States,33934
Deer Park,United States,33891
Newark,United States,33858
Bridgeton,United States,33856
Salisbury,United States,33849
Arcata,United States,33806
Long Beach,United States,33750
Fair Lawn,United States,33710
Douglasville,United States,33675
Woodridge,United States,33598
Fairborn,United States,33541
Franklin,United States,33532
Laramie,United States,33508
North Ridgeville,United States,33436
University Place,United States,33401
Northbrook,United States,33400
Valparaiso,United States,33376
Martinsville,United States,33363
Springville,United States,33294
Post Falls,United States,33290
Pullman,United States,33276
Mason,United States,33235
Goshen,United States,33220
Midvale,United States,33208
Alabaster,United States,33202
Foley,United States,33113
Lawndale,United States,33078
Estero,United States,33048
Calhoun,United States,33029
Fairmont,United States,32988
Andover,United States,32902
Sun Prairie,United States,32894
Plainfield,United States,32865
Carlsbad,United States,32848
Key West,United States,32820
Warsaw,United States,32813
Lake Stevens,United States,32785
Elk Grove Village,United States,32776
Alamogordo,United States,32745
Pekin,United States,32731
Spring Valley,United States,32724
Saint Charles,United States,32714
Copperas Cove,United States,32706
Ridgecrest,United States,32579
Bowling Green,United States,32572
Eastpointe,United States,32511
DeLand,United States,32506
Quiemo,China,32494
La Verne,United States,32461
Bethel Park,United States,32404
Garfield,United States,32393
Massillon,United States,32342
Florence,United States,32305
College Park,United States,32303
Westlake,United States,32297
Eagle Mountain,United States,32204
Oxford,United States,32203
Parkland,United States,32202
Rome,United States,32185
Starkville,United States,32164
Matthews,United States,32117
Dania Beach,United States,32030
Coos Bay,United States,32030
Arxan,China,32023
Southlake,United States,31824
Princeton,United States,31822
Kaysville,United States,31776
Alliance,United States,31758
Petersburg,United States,31750
North Olmsted,United States,31734
Columbus,United States,31701
Redmond,United States,31695
Hopkinsville,United States,31681
Chillicothe,United States,31671
Woodstock,United States,31564
Liberty,United States,31507
Naugatuck,United States,31461
Mundelein,United States,31385
Clearfield,United States,31363
Savage,United States,31352
Laguna Hills,United States,31318
Wheat Ridge,United States,31294
Placerville,United States,31260
Milledgeville,United States,31254
Greenville,United States,31243
Des Moines,United States,31238
Banning,United States,31230
San Pablo,United States,31156
Auburn,United States,31126
Goleta,United States,31116
Pingxiang,China,31109
Miami Lakes,United States,31087
Orangeburg,United States,31085
Sherwood,United States,31081
Harker Heights,United States,31075
Dumfries,United Kingdom,31044
Algonquin,United States,31017
Wooster,United States,31011
Brooklyn Center,United States,31006
Saratoga,United States,30905
Greer,United States,30899
Winter Park,United States,30879
Nogales,United States,30876
Rochester,United States,30797
Gurnee,United States,30767
Long Branch,United States,30762
Santa Paula,United States,30747
Los Altos,United States,30743
Los Gatos,United States,30724
Aiken,United States,30721
Holladay,United States,30709
Burlingame,United States,30686
San Luis,United States,30647
Clinton,United States,30642
Butte,United States,30628
Peru,United States,30611
Barstow,United States,30606
Nicholasville,United States,30600
San Carlos,United States,30499
Smithfield,United States,30482
North Tonawanda,United States,30475
Westfield,United States,30433
Atascadero,United States,30418
North Royalton,United States,30294
Texarkana,United States,30259
Opelika,United States,30240
Garden City,United States,30206
Walnut,United States,30199
Ballwin,United States,30181
Gloucester,United States,30172
Kerrville,United States,30148
East Liverpool,United States,30146
Rahway,United States,30131
Wuyuan,China,30057
Madison Heights,United States,30050
Winona,United States,29973
Milton,United States,29953
Athens,United States,29926
Kent,United States,29915
Chicago Heights,United States,29901
South Lake Tahoe,United States,29890
Lawrenceville,United States,29873
Rexburg,United States,29859
North Chicago,United States,29842
Fountain,United States,29804
Highland Park,United States,29767
East Palo Alto,United States,29765
Port Chester,United States,29711
Oak Park,United States,29654
Suisun,United States,29639
Ukiah,United States,29637
Somerset,United States,29633
Crown Point,United States,29625
New Iberia,United States,29620
Saratoga Springs,United States,29608
American Fork,United States,29527
Syracuse,United States,29507
Fitchburg,United States,29485
Niles,United States,29482
Duluth,United States,29463
Chamblee,United States,29428
Atwater,United States,29397
O'Fallon,United States,29272
Sanford,United States,29264
Firestone,United States,29254
Cibolo,United States,29249
Raytown,United States,29211
Athens,United States,29192
Cornelius,United States,29191
SeaTac,United States,29140
Geneva,United States,29140
Stockbridge,United States,29114
Englewood,United States,29112
Oak Ridge,United States,29096
Aberdeen,United States,29089
Southgate,United States,29084
Lumberton,United States,29047
Plattsburgh,United States,29006
Central,United States,28984
Morgan City,United States,28964
Lake in the Hills,United States,28936
Hermiston,United States,28925
Shamokin,United States,28903
Newberg,United States,28886
Garner,United States,28858
Burlington,United States,28830
Burbank,United States,28793
Maryville,United States,28765
Granite City,United States,28746
Henderson,United States,28657
Burton,United States,28643
Monterey,United States,28639
Schererville,United States,28633
Big Spring,United States,28624
Northampton,United States,28593
Harrison,United States,28587
Jacksonville,United States,28513
Bella Vista,United States,28511
Casselberry,United States,28395
Sunbury,United States,28389
Melrose,United States,28367
Newburgh,United States,28363
Benicia,United States,28343
Wisconsin Rapids,United States,28277
Aberdeen,United States,28264
Hobart,United States,28255
East Chicago,United States,28215
Ruston,United States,28199
Oakdale,United States,28083
Glen Ellyn,United States,28045
Belle Glade,United States,27999
Sonora,United States,27995
Lansing,United States,27962
Canton,United States,27936
Bergenfield,United States,27927
Millville,United States,27918
Fuquay-Varina,United States,27906
Gloversville,United States,27893
Fridley,United States,27853
Ashtabula,United States,27840
Garfield Heights,United States,27835
Seguin,United States,27768
Monroeville,United States,27716
Dodge City,United States,27696
Sterling,United States,27695
Oak Forest,United States,27685
Kirkwood,United States,27653
Independence,United States,27634
Maywood,United States,27586
Sanger,United States,27582
Galt,United States,27571
Windsor,United States,27548
Fremont,United States,27533
Kinston,United States,27517
Glen Cove,United States,27500
Tualatin,United States,27478
Bayan Obo,China,27476
Rockledge,United States,27476
Shaker Heights,United States,27440
Imperial Beach,United States,27418
Wilmette,United States,27418
Jeffersontown,United States,27395
Canon City,United States,27368
Vicksburg,United States,27357
Saint Helens,United States,27278
Plum,United States,27258
Tonghua,China,27227
Monticello,United States,27215
Huntley,United States,27207
West Chicago,United States,27182
Searcy,United States,27180
Allen Park,United States,27156
Lindenhurst,United States,27153
Belmont,United States,27140
Gladstone,United States,27140
Waterville,United States,27123
Easton,United States,27109
Lemon Grove,United States,27108
Indiana,United States,27105
Horn Lake,United States,27095
Lewes,United States,27087
New London,United States,27072
Paramus,United States,27032
Norfolk,United States,27016
Fernandina Beach,United States,27005
Maryland Heights,United States,26996
Shelby,United States,26962
Wasco,United States,26935
McHenry,United States,26911
Paragould,United States,26858
Yukon,United States,26830
Seneca,United States,26818
Shoreview,United States,26794
Cortland,United States,26769
Norco,United States,26761
Mint Hill,United States,26748
Bixby,United States,26724
Rock Springs,United States,26710
Zionsville,United States,26710
West Linn,United States,26703
Colleyville,United States,26674
Waynesboro,United States,26672
East Saint Louis,United States,26662
Statesville,United States,26657
Garden City,United States,26650
Thomasville,United States,26615
Marshalltown,United States,26593
Ramsey,United States,26587
Natchez,United States,26579
New Lenox,United States,26575
Batavia,United States,26563
Xenia,United States,26562
Chaska,United States,26561
Pearl,United States,26534
Mount Pleasant,United States,26525
Temple Terrace,United States,26489
Soledad,United States,26483
Alvin,United States,26474
Brawley,United States,26472
New Smyrna Beach,United States,26470
Morrisville,United States,26461
Mason City,United States,26457
Lafayette,United States,26440
Lebanon,United States,26414
Washington,United States,26405
Prior Lake,United States,26401
Sedalia,United States,26399
Bessemer,United States,26386
Lemoore,United States,26355
Muscatine,United States,26335
Williston,United States,26301
Vernon Hills,United States,26253
Superior,United States,26194
Medina,United States,26190
Cabot,United States,26141
Barberton,United States,26120
Eagle,United States,26089
Laurel,United States,26063
Snoqualmie,United States,26054
Marquette,United States,26029
Winchester,United States,25996
Paris,United States,25961
Neenah,United States,25951
Sachse,United States,25937
Espanola,United States,25913
Brownsburg,United States,25911
Laurel,United States,25906
South Pasadena,United States,25888
White Bear Lake,United States,25888
Lake City,United States,25869
Troy,United States,25865
Salem,United States,25862
Okeechobee,United States,25846
Woodstock,United States,25833
Maple Valley,United States,25758
Green,United States,25747
Ridgewood,United States,25692
Scottsbluff,United States,25662
Madison,United States,25627
Owatonna,United States,25587
Moscow,United States,25579
Chanhassen,United States,25558
Hercules,United States,25545
Boone,United States,25532
El Cerrito,United States,25515
South Portland,United States,25483
Forest City,United States,25481
Homewood,United States,25476
Lockport,United States,25434
Ossining,United States,25403
Hutto,United States,25367
Claremore,United States,25365
Balch Springs,United States,25357
Tarpon Springs,United States,25331
Windsor,United States,25330
Austin,United States,25321
Hazelwood,United States,25290
Kingsville,United States,25286
Mercer Island,United States,25261
Midlothian,United States,25254
Lancaster,United States,25247
University Park,United States,25201
Melrose Park,United States,25197
Belvidere,United States,25181
Juneau,United States,25180
Sebastian,United States,25174
Grandview,United States,25159
Clinton,United States,25154
Cliffside Park,United States,25142
Northport,United States,25094
Riverside,United States,25094
Franklin,United States,25089
Opelousas,United States,25056
De Pere,United States,25034
Champlin,United States,25022
Yucca Valley,United States,25009
Caledonia,United States,25002
Greenville,United States,25000
Muskego,United States,24996
Wyandotte,United States,24977
Edwardsville,United States,24967
Lodi,United States,24961
Sevierville,United States,24958
South Salt Lake,United States,24956
Newport,United States,24942
Harvey,United States,24908
Palm Springs,United States,24892
Hanahan,United States,24885
West Memphis,United States,24860
Ponca City,United States,24849
Rockville Centre,United States,24848
Walker,United States,24822
Westmont,United States,24756
McDonough,United States,24755
Riverbank,United States,24740
Ontario,United States,24738
San Fernando,United States,24714
Palmetto Bay,United States,24710
Collinsville,United States,24703
Burlington,United States,24687
Branson,United States,24682
Emporia,United States,24639
Watauga,United States,24602
Homer Glen,United States,24591
Fountain Hills,United States,24583
Chesapeake Beach,United States,24565
Elmwood Park,United States,24537
Herndon,United States,24532
San Benito,United States,24528
Bainbridge Island,United States,24522
Elk River,United States,24506
Norton Shores,United States,24501
Inkster,United States,24453
South Plainfield,United States,24435
Coronado,United States,24417
Freeport,United States,24412
Brookings,United States,24400
Hastings,United States,24391
Kernersville,United States,24386
Trotwood,United States,24386
Denison,United States,24380
Waycross,United States,24367
North Platte,United States,24352
Rosemount,United States,24344
Seal Beach,United States,24326
Angangxi,China,24317
Tifton,United States,24314
Haines City,United States,24304
Peekskill,United States,24272
Thomasville,United States,24271
Ridgeland,United States,24266
Erie,United States,24234
Fort Dodge,United States,24223
Ottumwa,United States,24206
Calabasas,United States,24202
Wuchuan,China,23776
Jyekundo,China,23000
Erenhot,China,22287
Omagh,United Kingdom,21056
Penzance,United Kingdom,20812
Shangdu,China,18831
Lijiang,China,18445
Anxi,China,17886
Bugt,China,17457
Gyangze,China,10000
Gar,China,10000
Fort William,United Kingdom,9652
Kirkwall,United Kingdom,8500
Guide,China,7642
Wick,United Kingdom,7147
Zixing,China,6618
Lerwick,United Kingdom,6594
Huize,China,5170
Kailu,China,2809
Nagchu,China,2500
Fulin,China,1049
Linxi,China,679
Nyingchi,China,100
Warrington,United Kingdom,
Newbury,United Kingdom,
Swindon,United Kingdom,
Dudley,United Kingdom,
Hackney,United Kingdom,
Matlock,United Kingdom,
Lochgilphead,United Kingdom,
Northallerton,United Kingdom,
Wokingham,United Kingdom,
City of Westminster,United Kingdom,
Solihull,United Kingdom,
Rochdale,United Kingdom,
Winchester,United Kingdom,
Wembley,United Kingdom,
Motherwell,United Kingdom,
Torquay,United Kingdom,
Thornbury,United Kingdom,
Oldham,United Kingdom,
Elgin,United Kingdom,
Wallsend,United Kingdom,
Weston-super-Mare,United Kingdom,
Hounslow,United Kingdom,
Irvine,United Kingdom,
Barnsley,United Kingdom,
Falkirk,United Kingdom,
Slough,United Kingdom,
Huddersfield,United Kingdom,
Romford,United Kingdom,
Grays,United Kingdom,
Hertford,United Kingdom,
Beverley,United Kingdom,
Stirling,United Kingdom,
Darlington,United Kingdom,
Hereford,United Kingdom,
Grimsby,United Kingdom,
Bracknell,United Kingdom,
Morpeth,United Kingdom,
Gateshead,United Kingdom,
Wandsworth,United Kingdom,
South Shields,United Kingdom,
Ystrad Mynach,United Kingdom,
South Bank,United Kingdom,
Haddington,United Kingdom,
Aberaeron,United Kingdom,
Glenrothes,United Kingdom,
Pen-y-Bont ar Ogwr,United Kingdom,
Barri,United Kingdom,
Aylesbury,United Kingdom,
Lincoln,United Kingdom,
Bromley,United Kingdom,
Croydon,United Kingdom,
Dorchester,United Kingdom,
Hendon,United Kingdom,
Hammersmith,United Kingdom,
Dumbarton,United Kingdom,
Enfield,United Kingdom,
Camberwell,United Kingdom,
Truro,United Kingdom,
Clydach Vale,United Kingdom,
Telford,United Kingdom,
Stockton-on-Tees,United Kingdom,
Maidenhead,United Kingdom,
Dalkeith,United Kingdom,
Wood Green,United Kingdom,
Pont-y-pwl,United Kingdom,
Milton Keynes,United Kingdom,
Hartlepool,United Kingdom,
Harrow,United Kingdom,
Oldbury,United Kingdom,
Ashton-under-Lyne,United Kingdom,
Wakefield,United Kingdom,
Trowbridge,United Kingdom,
Maidstone,United Kingdom,
Poole,United Kingdom,
Newport,United Kingdom,
Walsall,United Kingdom,
Woolwich,United Kingdom,
Scunthorpe,United Kingdom,
Caernarfon,United Kingdom,
Hamilton,United Kingdom,
Durham,United Kingdom,
Warwick,United Kingdom,
Newtown Saint Boswells,United Kingdom,
Sutton,United Kingdom,
Catford,United Kingdom,
Lambeth,United Kingdom,
Lewes,United Kingdom,
Stockport,United Kingdom,
Chelmsford,United Kingdom,
Kirkintilloch,United Kingdom,
Wallasey,United Kingdom,
Conwy,United Kingdom,
Rhuthun,United Kingdom,
Walthamstow,United Kingdom,
Halifax,United Kingdom,
Rotherham,United Kingdom,
Alloa,United Kingdom,
Ebbw Vale,United Kingdom,
Forfar,United Kingdom,
Islington,United Kingdom,
Caerfyrddin,United Kingdom,
Ealing,United Kingdom,
Kilmarnock,United Kingdom,
Newport,United Kingdom,
Kensington,United Kingdom,
Hwlffordd,United Kingdom,
Uxbridge,United Kingdom,
Twickenham,United Kingdom,
Livingston,United Kingdom,
Paisley,United Kingdom,
Widnes,United Kingdom,
Stretford,United Kingdom,
Stornoway,United Kingdom,
Morden,United Kingdom,
Ilford,United Kingdom,
Poplar,United Kingdom,
Salford,United Kingdom,
Derby,United Kingdom,
Mold,United Kingdom,
Worcester,United Kingdom,
Rochester,United Kingdom,
Chichester,United Kingdom,
East Ham,United Kingdom,
Oakham,United Kingdom,
Gloucester,United Kingdom,
Wrecsam,United Kingdom,
Wolverhampton,United Kingdom,
Llangefni,United Kingdom,
Hove,United Kingdom,
Doncaster,United Kingdom,
Shrewsbury,United Kingdom,
Camden Town,United Kingdom,
Bexleyheath,United Kingdom,
Bury,United Kingdom,
Merthyr Tudful,United Kingdom,
Taunton,United Kingdom,
Port Talbot,United Kingdom,
Dagenham,United Kingdom,
Saint Helens,United Kingdom,
Knowsley,United Kingdom,
Kingston upon Thames,United Kingdom,
Wigan,United Kingdom,
Southport,United Kingdom,
Preston,United Kingdom,
Blackburn,United Kingdom,
Bolton,United Kingdom,
Hugh Town,United Kingdom,
Bedford,United Kingdom,
Chicksands,United Kingdom,
Sandbach,United Kingdom,
Llandrindod Wells,United Kingdom,
Northampton,United Kingdom,
Giffnock,United Kingdom,
Downpatrick,United Kingdom,
Coleraine,United Kingdom,
Magherafelt,United Kingdom,
Dungannon,United Kingdom,
Cookstown,United Kingdom,
Bangor,United Kingdom,
Strabane,United Kingdom,
Enniskillen,United Kingdom,
Ballymena,United Kingdom,
Banbridge,United Kingdom,
Armagh,United Kingdom,
Newtownabbey,United Kingdom,
Craigavon,United Kingdom,
Antrim,United Kingdom,
